amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,scheme_name,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,overall_rank
120503,0.13974980348212673,0.533719870857107,0.17703302365844073,-0.13897862823061635,1.42,ICICI Pru Bluechip Fund - Regular - Growth,25.0,17.0,17.0,20.0,14.0,38.46153846153847,58.97435897435898,58.97435897435898,51.28205128205128,66.66666666666666,52.43589743589744,19.0
148568,0.14744434832760533,0.656121773164427,0.20873010086942337,-0.1527259422823477,1.52,Mirae Asset Emerging Bluechip Fund - Regular - Growth,24.0,15.0,14.0,26.5,19.0,41.02564102564102,64.1025641025641,66.66666666666666,34.61538461538461,53.84615384615385,52.243589743589745,20.0
120506,0.18417429266835228,0.42027145814352274,0.1625385327998104,-0.1982565826298267,1.41,ICICI Pru Value Discovery Fund - Regular - Growth,20.0,19.0,20.0,19.0,27.0,51.28205128205128,53.84615384615385,51.28205128205128,53.84615384615385,33.33333333333333,50.51282051282052,21.0
119093,0.20811559826631898,-0.03001311206161776,0.08232801295222093,-0.21751396370148224,0.75,Axis Bluechip Fund - Direct - Growth,16.0,28.0,28.0,8.0,31.0,61.53846153846154,30.76923076923077,30.76923076923077,82.05128205128204,23.076923076923077,46.92307692307692,22.0
102887,0.25549670172502026,0.399769680429123,0.16211256794033255,-0.21539827112383225,1.64,UTI Flexi Cap Fund - Regular - Growth,13.0,22.0,21.0,39.5,30.0,69.23076923076923,46.15384615384615,48.717948717948715,1.282051282051282,25.64102564102564,44.80769230769231,23.0
149322,0.1803973982038829,0.2562785020406587,0.13173190226099432,-0.14844576917771746,1.54,DSP Top 100 Equity Fund - Regular - Growth,21.0,25.0,24.0,30.5,16.0,48.717948717948715,38.46153846153847,41.02564102564102,24.358974358974358,61.53846153846154,42.24358974358974,24.0
125498,0.11242518737374207,0.14779594943387106,0.11989100971217971,-0.21117279560132118,0.78,HDFC Mid-Cap Opportunities Fund - Direct - Growth,26.0,26.0,26.0,10.0,29.0,35.8974358974359,35.8974358974359,35.8974358974359,76.92307692307693,28.205128205128204,41.282051282051285,25.0
118634,0.080060298597036,0.3017934534118471,0.1750072167561127,-0.2334488614483311,1.53,Nippon India Small Cap Fund - Regular - Growth,27.0,23.0,18.0,28.5,32.0,33.33333333333333,43.58974358974359,56.41025641025641,29.48717948717949,20.51282051282051,38.65384615384615,26.0
120841,0.1726301444443794,0.27282979809038793,0.13042924450705445,-0.1757361416468729,1.59,Kotak Bluechip Fund - Regular - Growth,22.0,24.0,25.0,35.0,24.0,46.15384615384615,41.02564102564102,38.46153846153847,12.82051282051282,41.02564102564102,37.82051282051282,27.0
120507,0.07392538786263403,-3.211208174307658,0.06746210411099539,-0.0009773140045925555,0.74,ICICI Pru Liquid Fund - Regular - Growth,29.0,38.0,31.0,7.0,1.0,28.205128205128204,5.128205128205128,23.076923076923077,84.61538461538461,100.0,37.05128205128205,28.0
120844,0.06694394239074852,-3.572251625405448,0.06455677495375998,-0.0011629327956168556,0.6,Kotak Liquid Fund - Regular - Growth,30.0,39.0,32.0,3.0,2.0,25.64102564102564,2.564102564102564,20.51282051282051,94.87179487179486,97.43589743589743,36.41025641025641,29.0
118636,0.04061259859840338,-0.790766281278634,0.05074772999976104,-0.08316361763638702,0.55,Nippon India Gilt Securities Fund - Regular - Growth,33.0,36.0,35.0,1.0,6.0,17.94871794871795,10.256410256410255,12.82051282051282,100.0,87.17948717948718,34.230769230769226,30.0
119120,0.05838988442093762,-0.6830199187421566,0.05620895216638369,-0.04328728923970093,0.77,SBI Magnum Gilt Fund - Regular Plan - Growth,32.0,35.0,34.0,9.0,5.0,20.51282051282051,12.82051282051282,15.384615384615385,79.48717948717949,89.74358974358975,33.333333333333336,31.0
100025,0.03915479354684703,-0.9788844261616272,0.042817920315060876,-0.04308263824636349,0.56,HDFC Short Term Debt Fund - Regular - Growth,34.0,37.0,38.0,2.0,4.0,15.384615384615385,7.6923076923076925,5.128205128205128,97.43589743589743,92.3076923076923,31.41025641025641,32.0
101208,0.06314299292105274,-4.21361730410715,0.060861457957871144,-0.0016224980244717857,0.79,ABSL Liquid Fund - Regular - Growth,31.0,40.0,33.0,11.0,3.0,23.076923076923077,0.0,17.94871794871795,74.35897435897436,94.87179487179486,31.153846153846153,33.0
120842,0.0775416750547262,-0.04483445577560299,0.0780443887615508,-0.24003511326274884,1.56,Kotak Emerging Equity Fund - Regular - Growth,28.0,29.0,29.0,33.0,33.0,30.76923076923077,28.205128205128204,28.205128205128204,17.94871794871795,17.94871794871795,26.410256410256412,34.0
119599,-0.01337083602283895,-0.12661506676350995,0.048824215945539845,-0.5257422117012851,0.72,SBI Small Cap Fund - Direct Plan - Growth,38.0,31.0,36.0,5.5,40.0,5.128205128205128,23.076923076923077,10.256410256410255,88.46153846153845,0.0,22.628205128205124,35.0
119092,0.005257668501786883,-0.11390808404990917,0.0689952982167755,-0.1440161790933726,1.64,Axis Bluechip Fund - Regular - Growth,36.0,30.0,30.0,39.5,15.0,10.256410256410255,25.64102564102564,25.64102564102564,1.282051282051282,64.1025641025641,21.217948717948715,36.0
101207,-0.04151453816140693,0.06186644292714197,0.10897091901704538,-0.3544691649336603,1.53,ABSL Small Cap Fund - Regular - Growth,39.0,27.0,27.0,28.5,38.0,2.564102564102564,33.33333333333333,33.33333333333333,29.48717948717949,5.128205128205128,20.705128205128204,37.0
119095,-0.11703299329834216,-0.14213950019223068,0.048015953637759554,-0.5167775370852656,1.38,Axis Small Cap Fund - Regular - Growth,40.0,32.0,37.0,17.0,39.0,0.0,20.51282051282051,7.6923076923076925,58.97435897435898,2.564102564102564,15.76923076923077,38.0
102886,-0.007672319440258146,-0.2817316377375778,0.028969397866379445,-0.2800112356639287,1.51,UTI Mid Cap Fund - Regular - Growth,37.0,33.0,40.0,24.5,35.0,7.6923076923076925,17.94871794871795,0.0,39.743589743589745,12.82051282051282,14.038461538461537,39.0
100016,0.012923525892154508,-0.3046187642532657,0.03747580763443281,-0.24734440880673303,1.55,HDFC Top 100 Fund - Regular Plan - Growth,35.0,34.0,39.0,32.0,34.0,12.82051282051282,15.384615384615385,2.564102564102564,20.51282051282051,15.384615384615385,12.82051282051282,40.0
